build_key,runs,acquisition_probability,completion_rate,avg_final_stage,avg_ending_bankroll,consistency,dominant_components
"core.clean-hands|core.lucky-chip|core.opening-tell|core.opening-tell|tie.tie-whisperer",4,0.001%,100%,10,29352156.25,1,"clean-hands + lucky-chip + opening-tell + opening-tell"
"banker.dealers-nod|core.clean-hands|core.opening-tell|core.tie-insurance|tie.tie-whisperer",4,0.001%,100%,10,19506000,1,"dealers-nod + clean-hands + opening-tell + tie-insurance"
"core.clean-hands|core.lucky-chip|core.opening-tell|player.side-step|vision.banker-forecast",4,0.001%,100%,10,12669187.5,1,"clean-hands + lucky-chip + opening-tell + side-step"
"core.clean-hands|core.opening-tell|counter.countertrend-plus|counter.false-read|player.side-step",4,0.001%,100%,10,17756406.25,1,"clean-hands + opening-tell + countertrend-plus + false-read"
"core.opening-tell|core.opening-tell|heat.soft-footsteps|player.punto-strike|player.side-step",4,0.001%,100%,10,17627156.25,1,"opening-tell + opening-tell + soft-footsteps + punto-strike"
"banker.banco-battery|core.clean-hands|core.opening-tell|vision.dealer-glance|vision.soft-peek",4,0.001%,100%,10,14292843.75,1,"banco-battery + clean-hands + opening-tell + dealer-glance"
"core.opening-tell|heat.soft-footsteps|tie.mirror-bet|vision.dealer-glance|vision.soft-peek",4,0.001%,100%,10,22563137.5,1,"opening-tell + soft-footsteps + mirror-bet + dealer-glance"
"core.clean-hands|core.opening-tell|counter.false-read|player.side-step|tie.equalizer",4,0.001%,100%,10,13789812.5,1,"clean-hands + opening-tell + false-read + side-step"
"core.opening-tell|core.player-surge|counter.false-read|heat.soft-footsteps|tie.split-signal",4,0.001%,100%,10,18121906.25,1,"opening-tell + player-surge + false-read + soft-footsteps"
"core.clean-hands|core.opening-tell|core.opening-tell|counter.false-read|tie.split-signal",4,0.001%,100%,10,22497875,1,"clean-hands + opening-tell + opening-tell + false-read"
"bet.small-ball|core.clean-hands|core.opening-tell|player.side-step|vision.soft-peek",4,0.001%,100%,10,16249875,1,"small-ball + clean-hands + opening-tell + side-step"
"core.clean-hands|core.opening-tell|core.opening-tell|vision.banker-forecast|vision.soft-peek",4,0.001%,100%,10,17037156.25,1,"clean-hands + opening-tell + opening-tell + banker-forecast"
"core.clean-hands|core.opening-tell|counter.false-read|player.punto-strike|tie.tie-whisperer",4,0.001%,100%,10,29858250,1,"clean-hands + opening-tell + false-read + punto-strike"
"core.opening-tell|core.opening-tell|heat.soft-footsteps|tie.equalizer|vision.soft-peek",4,0.001%,100%,10,15858343.75,1,"opening-tell + opening-tell + soft-footsteps + equalizer"
"core.clean-hands|core.opening-tell|vision.banker-forecast|vision.dealer-glance|vision.soft-peek",4,0.001%,100%,10,12165156.25,1,"clean-hands + opening-tell + banker-forecast + dealer-glance"
"core.opening-tell|core.opening-tell|heat.soft-footsteps|tie.tie-whisperer|vision.banker-forecast",4,0.001%,100%,10,22900250,1,"opening-tell + opening-tell + soft-footsteps + tie-whisperer"
"core.opening-tell|core.opening-tell|heat.soft-footsteps|vision.banker-forecast|vision.soft-peek",4,0.001%,100%,10,15629656.25,1,"opening-tell + opening-tell + soft-footsteps + banker-forecast"
"banker.dealers-nod|core.clean-hands|core.opening-tell|core.player-surge|vision.dealer-glance",4,0.001%,100%,10,18372218.75,1,"dealers-nod + clean-hands + opening-tell + player-surge"
"banker.dealers-nod|core.clean-hands|core.opening-tell|counter.false-read|tie.tie-whisperer",4,0.001%,100%,10,12932656.25,1,"dealers-nod + clean-hands + opening-tell + false-read"
"core.clean-hands|core.opening-tell|counter.false-read|tie.equalizer|tie.mirror-bet",4,0.001%,100%,10,16391968.75,1,"clean-hands + opening-tell + false-read + equalizer"
"banker.house-favorite|core.lucky-chip|core.opening-tell|heat.soft-footsteps|tie.equalizer",4,0.001%,100%,10,15099781.25,1,"house-favorite + lucky-chip + opening-tell + soft-footsteps"
"core.clean-hands|core.opening-tell|player.countertrend|tie.equalizer|vision.dealer-glance",4,0.001%,100%,10,14178500,1,"clean-hands + opening-tell + countertrend + equalizer"
"core.clean-hands|core.opening-tell|player.side-step|vision.dealer-glance|vision.deep-read",4,0.001%,100%,10,17987656.25,1,"clean-hands + opening-tell + side-step + dealer-glance"
